# of Units,Incident Alarm Time,Problem Type,Location,Location Type
1,12/02/2018 2:01:23,Smoke detector activation due to malfunction,1350 N LBJ DR ,Multifamily dwellings
1,12/02/2018 3:20:11,"EMS call, excluding vehicle accident with injury",118 N Bishop ST ,1 or 2 family dwelling
1,12/02/2018 4:59:44,"Outside rubbish, trash or waste fire",1015  Hwy 80  ,Open land or field
1,12/02/2018 5:24:27,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,"Manufacturing, processing"
1,12/02/2018 6:20:20,"Medical assist, assist EMS crew",503  Uhland RD ,1 or 2 family dwelling
1,12/02/2018 8:16:00,"Medical assist, assist EMS crew",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
3,12/02/2018 8:40:00,"Medical assist, assist EMS crew",1101 E River Ridge PKWY ,Multifamily dwellings
0,12/02/2018 10:01:41,"EMS call, excluding vehicle accident with injury",210  Sageleaf Willow DR ,1 or 2 family dwelling
1,12/02/2018 11:10:03,"Medical assist, assist EMS crew",1106 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
0,12/02/2018 14:37:31,"EMS call, excluding vehicle accident with injury",1050  McKinley Place DR ,Vehicle parking area
3,12/02/2018 15:16:06,Motor vehicle accident with no injuries,208  NB  ,Highway or divided highway
1,12/02/2018 17:08:57,Public service,1249 N LBJ DR ,Multifamily dwellings
1,12/02/2018 17:46:46,Vehicle accident with injuries, E Aquarena Springs DR ,Street or road in commercial area
1,12/02/2018 18:00:42,"EMS call, excluding vehicle accident with injury",801  River RD ,Multifamily dwellings
1,12/02/2018 18:08:38,"Medical assist, assist EMS crew",503  Springtown WAY ,Multifamily dwellings
1,12/02/2018 20:58:34,Removal of victim(s) from stalled elevator,105  Bintu DR ,"Hotel/motel, commercial"
3,12/02/2018 23:13:43,"Smoke scare, odor of smoke",700  Barnes DR ,Department or discount store
1,12/03/2018 6:06:13,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,12/03/2018 7:11:52,"Detector activation, no fire - unintentional",186  Tallow TRL ,1 or 2 family dwelling
1,12/03/2018 9:45:44,"EMS call, excluding vehicle accident with injury",2917  Hunter RD ,Multifamily dwellings
1,12/03/2018 11:11:39,"Medical assist, assist EMS crew",1951  Aquarena Springs DR ,Multifamily dwellings
1,12/03/2018 12:32:08,"EMS call, excluding vehicle accident with injury",100  Concho ST ,"Church, mosque, synagogue, temple, chapel"
3,12/03/2018 20:08:21,No incident found on arrival at dispatch address,705  River RD ,Multifamily dwellings
1,12/04/2018 2:00:52,"EMS call, excluding vehicle accident with injury",1202  Gravel ST ,1 or 2 family dwelling
1,12/04/2018 3:18:28,Sprinkler activation due to malfunction,512  Craddock AVE ,Business office
1,12/04/2018 3:57:30,"Local alarm system, malicious false alarm",1106 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,12/04/2018 7:43:37,Gas leak (natural gas or LPG),  Castle Creek DR ,"Residential street, road or residential driveway"
1,12/04/2018 11:43:51,"EMS call, excluding vehicle accident with injury",102  Willow Springs DR ,Street or road in commercial area
1,12/04/2018 11:46:55,Assist invalid,503  Springtown WAY ,Multifamily dwellings
1,12/04/2018 14:51:38,No incident found on arrival at dispatch address,401  Broadway ST ,Vehicle parking area
1,12/04/2018 15:19:00,"EMS call, excluding vehicle accident with injury",406  Craddock AVE ,1 or 2 family dwelling
1,12/04/2018 15:40:43,"EMS call, excluding vehicle accident with injury",102 N IH 35  ,Restaurant or cafeteria
1,12/04/2018 16:56:59,Vehicle accident with injuries, W San Antonio ST ,"Residential street, road or residential driveway"
6,12/04/2018 17:18:56,No incident found on arrival at dispatch address,525 W Hutchison ST ,1 or 2 family dwelling
1,12/04/2018 17:50:30,Vehicle accident with injuries,204  Moore ST ,Street or road in commercial area
2,12/04/2018 18:17:20,"Chimney or flue fire, confined to chimney or flue",2406  Centerpoint RD ,1 or 2 family dwelling
1,12/04/2018 18:53:40,Water or steam leak,1640  Aquarena Springs DR ,Multifamily dwellings
1,12/04/2018 20:37:43,Assist invalid,600  Leah AVE ,Multifamily dwellings
2,12/04/2018 22:34:10,"Good intent call, other",  Yarrington RD ,Highway or divided highway
1,12/04/2018 23:17:11,Vehicle accident with injuries,  Aquarena Springs DR ,Street or road in commercial area
2,12/05/2018 6:41:28,"Alarm system sounded, no fire - unintentional",900  Barnes DR ,"Hotel/motel, commercial"
1,12/05/2018 8:39:20,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
2,12/05/2018 12:17:38,Motor vehicle accident with no injuries,  Aquarena Springs DR ,Street or road in commercial area
1,12/05/2018 12:18:48,Motor vehicle accident with no injuries,  Craddock AVE ,"Residential street, road or residential driveway"
1,12/05/2018 13:07:57,"EMS call, excluding vehicle accident with injury",314  Riverside DR ,1 or 2 family dwelling
1,12/05/2018 13:29:27,"EMS call, excluding vehicle accident with injury",1400  Clarewood DR ,Multifamily dwellings
3,12/05/2018 14:31:30,Vehicle accident with injuries,210  NB  ,Highway or divided highway
1,12/05/2018 14:50:16,"EMS call, excluding vehicle accident with injury",206  Armstrong ST ,1 or 2 family dwelling
3,12/05/2018 17:48:07,"Electrical  wiring/equipment problem, other", N LBJ DR ,Street or road in commercial area
1,12/05/2018 18:57:36,"EMS call, excluding vehicle accident with injury",328 N LBJ DR ,Restaurant or cafeteria
1,12/05/2018 20:14:23,"Medical assist, assist EMS crew",520 S Guadalupe ST ,1 or 2 family dwelling
1,12/05/2018 20:59:53,"EMS call, excluding vehicle accident with injury",206 N C M Allen PKWY ,"Variable use amusement, recreation places"
1,12/06/2018 0:47:42,Removal of victim(s) from stalled elevator,405 N Edward Gary ST ,"Parking garage, general vehicle"
1,12/06/2018 1:03:25,"EMS call, excluding vehicle accident with injury",1405  Prospect ST ,1 or 2 family dwelling
1,12/06/2018 2:20:58,"Medical assist, assist EMS crew",5985  Centerpoint RD ,"Street, other"
2,12/06/2018 7:39:09,Vehicle accident with injuries,  Wonder World DR ,Street or road in commercial area
2,12/06/2018 7:40:06,Alarm system sounded due to malfunction,1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,12/06/2018 8:05:24,"EMS call, excluding vehicle accident with injury",712 S Stagecoach TRL ,Courthouse
4,12/06/2018 10:05:18,No incident found on arrival at dispatch address,169 S LBJ DR ,Street or road in commercial area
1,12/06/2018 10:07:17,Motor vehicle accident with no injuries,3500  Hwy 21  ,Highway or divided highway
1,12/06/2018 11:21:04,Dispatched & cancelled en route,109  West AVE ,Multifamily dwellings
1,12/06/2018 12:46:04,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,12/06/2018 15:20:51,"EMS call, excluding vehicle accident with injury",100 W Woods ST ,Restaurant or cafeteria
1,12/06/2018 16:35:24,Motor vehicle accident with no injuries,204  SB  ,Highway or divided highway
1,12/06/2018 16:39:30,Motor vehicle accident with no injuries,204  SB  ,Highway or divided highway
1,12/06/2018 17:54:35,Vehicle accident with injuries,205  SB  ,Street or road in commercial area
2,12/06/2018 19:12:13,Motor vehicle accident with no injuries,208 W Access RD ,Highway or divided highway
0,12/06/2018 19:17:30,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,Multifamily dwellings
1,12/06/2018 19:40:08,"EMS call, excluding vehicle accident with injury",1920  Los Santos DR ,1 or 2 family dwelling
1,12/06/2018 21:39:26,"EMS call, excluding vehicle accident with injury",908  Meredith ST ,1 or 2 family dwelling
2,12/06/2018 22:47:04,"False alarm or false call, other",917 N IH 35  ,"Hotel/motel, commercial"
1,12/07/2018 0:25:56,Motor vehicle accident with no injuries,  Chestnut ST ,"Residential street, road or residential driveway"
1,12/07/2018 0:47:31,Motor vehicle/pedestrian accident (MV Ped), N LBJ DR ,Highway or divided highway
0,12/07/2018 1:03:21,"Medical assist, assist EMS crew",101  University DR ,Restaurant or cafeteria
2,12/07/2018 1:07:00,Motor vehicle accident with no injuries,204  SB  ,Highway or divided highway
2,12/07/2018 1:25:44,Alarm system sounded due to malfunction,3939 S IH 35  ,Department or discount store
1,12/07/2018 1:43:45,Motor vehicle accident with no injuries,900 N IH 35 ST ,Highway or divided highway
1,12/07/2018 3:42:13,"EMS call, excluding vehicle accident with injury",197  Palermo DR ,1 or 2 family dwelling
2,12/07/2018 3:44:07,Vehicle accident with injuries,  Commercial LP ,Street or road in commercial area
2,12/07/2018 6:58:57,Vehicle accident with injuries,206  SB  ,Highway or divided highway
2,12/07/2018 7:37:39,Public service,1202 W San Antonio ST ,"Residential street, road or residential driveway"
2,12/07/2018 9:08:01,"EMS call, excluding vehicle accident with injury",944  Cheatham ST ,1 or 2 family dwelling
2,12/07/2018 10:03:49,"EMS call, excluding vehicle accident with injury",155  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
1,12/07/2018 10:27:12,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Business office
1,12/07/2018 10:54:53,Lock-out,4321 S IH 35  ,Vehicle parking area
1,12/07/2018 11:26:55,"EMS call, excluding vehicle accident with injury",1113 N IH 35  ,"Food and beverage sales, grocery store"
1,12/07/2018 11:29:15,"EMS call, excluding vehicle accident with injury",1301  Hwy 123  ,High school/junior high school/middle school
1,12/07/2018 11:59:07,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
1,12/07/2018 12:39:11,"EMS call, excluding vehicle accident with injury",1106  Haynes ST ,1 or 2 family dwelling
1,12/07/2018 13:05:03,"EMS call, excluding vehicle accident with injury",305  Capistrano DR ,1 or 2 family dwelling
1,12/07/2018 13:27:26,"EMS call, excluding vehicle accident with injury",1400  Clarewood DR ,Multifamily dwellings
2,12/07/2018 14:04:42,Motor vehicle accident with no injuries,204 N SB  ,Highway or divided highway
2,12/07/2018 16:06:46,"EMS call, excluding vehicle accident with injury",217  Wisteria WAY ,1 or 2 family dwelling
1,12/07/2018 17:36:27,Motor vehicle accident with no injuries, E Access RD ,Highway or divided highway
1,12/07/2018 18:21:36,Alarm system sounded due to malfunction,214 E San Antonio ST ,Multifamily dwellings
1,12/07/2018 18:36:52,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,Multifamily dwellings
1,12/07/2018 19:06:21,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
2,12/07/2018 21:21:31,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
2,12/08/2018 0:02:09,Public service,  Uhland RD ,"Lake, river, stream"
1,12/08/2018 0:40:39,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,"Mercantile, business, other"
1,12/08/2018 5:12:17,"Public service assistance, other",1201  Thorpe LN ,1 or 2 family dwelling
1,12/08/2018 7:57:31,Alarm system sounded due to malfunction,3939 S IH 35  ,Department or discount store
3,12/08/2018 9:09:59,Vehicle accident with injuries,  Craddock AVE ,Street or road in commercial area
1,12/08/2018 12:03:45,Vehicle accident with injuries,  North ST ,Street or road in commercial area
1,12/08/2018 13:27:28,"EMS call, excluding vehicle accident with injury",112  Quail Creek DR ,1 or 2 family dwelling
1,12/08/2018 13:31:26,"EMS call, excluding vehicle accident with injury",112  Lookout Ridge LP ,1 or 2 family dwelling
1,12/08/2018 14:11:57,Unauthorized burning, S C M Allen PKWY ,Street or road in commercial area
1,12/08/2018 15:43:03,"Medical assist, assist EMS crew",1200  Hwy 80  ,Convenience store
4,12/08/2018 16:16:19,Motor vehicle accident with no injuries,204  SB  ,Highway or divided highway
2,12/08/2018 19:05:22,Motor vehicle accident with no injuries,198  SB  ,Highway or divided highway
1,12/09/2018 10:36:59,Vehicle accident with injuries,  Blanco Vista BLVD ,"Residential street, road or residential driveway"
2,12/09/2018 10:39:10,"Smoke scare, odor of smoke",  EXIT 205 NB  ,Highway or divided highway
2,12/09/2018 10:49:58,"Alarm system sounded, no fire - unintentional",1011  Wonder World DR ,Multifamily dwellings
6,12/09/2018 13:09:38,"Smoke scare, odor of smoke",418  Sarah ST ,1 or 2 family dwelling
1,12/09/2018 14:09:15,"EMS call, excluding vehicle accident with injury",1631  Aquarena Springs DR ,Multifamily dwellings
3,12/09/2018 16:18:40,Passenger vehicle fire,1100  Hwy 80  ,Street or road in commercial area
1,12/09/2018 18:56:42,"EMS call, excluding vehicle accident with injury",4015 S IH 35  ,Specialty shop
1,12/09/2018 20:24:20,Vehicle accident with injuries,  Aquarena Springs DR ,Highway or divided highway
1,12/09/2018 22:29:30,"EMS call, excluding vehicle accident with injury",1610 N IH 35  ,Multifamily dwellings
1,12/09/2018 22:40:25,"Trash or rubbish fire, contained",700  Aquarena Springs DR ,Graded and cared-for plots of land
1,12/10/2018 0:06:37,"Medical assist, assist EMS crew",2  Timbercrest  ,1 or 2 family dwelling
1,12/10/2018 0:50:21,"EMS call, excluding vehicle accident with injury",104 N IH 35  ,"Hotel/motel, commercial"
1,12/10/2018 9:49:27,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
6,12/10/2018 10:23:21,Water or steam leak,2002  Nevada ST ,1 or 2 family dwelling
1,12/10/2018 10:49:41,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,12/10/2018 13:50:00,"Medical assist, assist EMS crew",1400 S IH 35  ,"Clinics, Doctors offices, hemodialysis centers"
1,12/10/2018 14:45:30,"Smoke detector activation, no fire - unintentional",705  Willow Ridge DR ,1 or 2 family dwelling
1,12/10/2018 15:46:09,"Medical assist, assist EMS crew",601  Leah AVE ,"Clinic, clinic-type infirmary"
1,12/10/2018 16:06:20,Gas leak (natural gas or LPG),  Mary ST ,Street or road in commercial area
1,12/10/2018 18:39:18,Dispatched & cancelled en route,200  Linda DR ,1 or 2 family dwelling
1,12/10/2018 18:42:05,Unauthorized burning,200  Linda DR ,1 or 2 family dwelling
1,12/10/2018 22:47:34,"Medical assist, assist EMS crew",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,12/10/2018 23:21:04,Dumpster or other outside trash receptacle fire,1975  Aquarena Springs DR ,Multifamily dwellings
2,12/10/2018 23:35:38,"Medical assist, assist EMS crew",1321 N IH 35  ,"Hotel/motel, commercial"
2,12/11/2018 3:00:33,"Medical assist, assist EMS crew",2440 S IH 35  ,Highway or divided highway
1,12/11/2018 3:25:03,"False alarm or false call, other",917 N IH 35  ,"Hotel/motel, commercial"
1,12/11/2018 3:59:17,"Medical assist, assist EMS crew",525  Lookout Ridge LP ,1 or 2 family dwelling
1,12/11/2018 4:45:14,"EMS call, excluding vehicle accident with injury",1100  Earle ST ,1 or 2 family dwelling
6,12/11/2018 7:40:11,"Excessive heat, scorch burns with no ignition",100  Warden LN ,Multifamily dwellings
0,12/11/2018 8:31:01,"EMS call, excluding vehicle accident with injury",405 E McCarty LN ,1 or 2 family dwelling
1,12/11/2018 9:08:32,Gas leak (natural gas or LPG),  Roosevelt ST ,Street or road in commercial area
1,12/11/2018 9:18:04,"EMS call, excluding vehicle accident with injury",1321 N IH 35  ,"Hotel/motel, commercial"
1,12/11/2018 9:33:00,Motor vehicle accident with no injuries, N Guadalupe ST ,Street or road in commercial area
1,12/11/2018 9:43:09,Gas leak (natural gas or LPG),  Ed J L Green ST ,Street or road in commercial area
1,12/11/2018 9:49:57,Gas leak (natural gas or LPG),210 N Edward Gary ST ,Multifamily dwellings
1,12/11/2018 9:58:47,"Medical assist, assist EMS crew",144 E San Antonio ST ,Business office
1,12/11/2018 10:19:46,"EMS call, excluding vehicle accident with injury",1115  Alamo ST ,1 or 2 family dwelling
2,12/11/2018 11:06:44,Sprinkler activation due to malfunction,3939 S IH 35  ,Department or discount store
1,12/11/2018 11:10:05,No incident found on arrival at dispatch address,111 E San Antonio ST ,"Residential street, road or residential driveway"
2,12/11/2018 11:37:08,"EMS call, excluding vehicle accident with injury",155  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
